"","market","producer","totalcomb","newrfpdtq","combnewrenrfpsold","clusters"
"1","Arizona","Ariz1",1,0,1,1
"2","Arizona","Ariz2",2,2,0,1
"3","Arizona","Ariz3",6,4,0,2
"4","Arizona","Ariz4",1,0,0,1
"5","Arizona","Ariz5",1,0,0,1
"6","Arizona","Ariz6",2,1,0,1
"7","Arizona","Ariz7",1,1,0,1
"8","Arizona","Ariz8",9,3,4,2
"9","Arizona","Ariz9",7,3,0,2
"10","Arizona","Ariz10",3,1,1,1
"11","Arizona","Ariz11",4,3,0,1
"12","Arizona","Ariz12",88,30,30,3
"13","Arizona","Ariz13",16,2,9,2
"14","Arizona","Ariz14",1,1,0,1
"15","Arizona","Ariz15",3,1,0,1
"16","Arizona","Ariz16",50,22,4,4
"17","Arizona","Ariz17",1,0,0,1
"18","Arizona","Ariz18",3,1,2,1
"19","Arizona","Ariz19",4,2,0,1
"20","Arizona","Ariz20",13,3,1,2
"21","Arizona","Ariz21",1,1,0,1
"22","Arizona","Ariz22",2,2,0,1
"23","Arizona","Ariz23",3,0,2,1
"24","Arizona","Ariz24",1,0,0,1
"25","Arizona","Ariz25",21,12,2,2
"26","Arizona","Ariz26",2,1,0,1
"27","Arizona","Ariz27",1,0,0,1
"28","Arizona","Ariz28",2,1,1,1
"29","Arizona","Ariz29",5,1,1,1
"30","Arizona","Ariz30",1,1,0,1
"31","Arizona","Ariz31",4,2,1,1
"32","Arizona","Ariz32",1,1,0,1
"33","Arizona","Ariz33",3,1,0,1
"34","Arizona","Ariz34",4,0,0,1
"35","Arizona","Ariz35",9,1,7,2
"36","Arizona","Ariz36",1,0,1,1
"37","Arizona","Ariz37",1,0,0,1
"38","Arizona","Ariz38",1,0,0,1
"39","Arizona","Ariz39",1,0,0,1
"40","Arizona","Ariz40",3,1,1,1
"41","Arizona","Ariz41",8,4,0,2
"42","Arizona","Ariz42",27,8,6,4
"43","Arizona","Ariz43",2,1,0,1
"44","Arizona","Ariz44",2,1,0,1
"45","Arizona","Ariz45",55,20,12,4
"46","Arizona","Ariz46",5,1,3,1
"47","Arizona","Ariz47",50,20,13,4
"48","Arizona","Ariz48",7,4,0,2
"49","Arizona","Ariz49",1,1,0,1
"50","Arizona","Ariz50",3,2,0,1
"51","Arizona","Ariz51",3,2,0,1
"52","Arizona","Ariz52",1,0,0,1
"53","Arizona","Ariz53",2,0,0,1
"54","Arizona","Ariz54",1,0,0,1
"55","Arizona","Ariz55",2,0,2,1
"56","Arizona","Ariz56",1,0,0,1
"57","Arizona","Ariz57",7,1,1,2
"58","Arizona","Ariz58",5,2,1,1
"59","Arizona","Ariz59",1,0,0,1
"60","Arizona","Ariz60",3,0,1,1
"61","Arizona","Ariz61",2,0,0,1
"62","Arizona","Ariz62",3,0,0,1
"63","Arizona","Ariz63",1,0,0,1
"64","Arizona","Ariz64",3,1,0,1
"65","Arizona","Ariz65",2,1,0,1
"66","Arizona","Ariz66",1,0,0,1
"67","Arizona","Ariz67",40,18,2,4
"68","Arizona","Ariz68",4,1,1,1
"69","Arizona","Ariz69",30,10,12,4
"70","Arizona","Ariz70",1,1,0,1
"71","Arizona","Ariz71",1,0,1,1
"72","Arizona","Ariz72",3,2,1,1
"73","Arizona","Ariz73",3,2,0,1
"74","Arizona","Ariz74",4,3,0,1
"75","Arizona","Ariz75",6,0,4,1
"76","Arizona","Ariz76",1,0,0,1
"77","Arizona","Ariz77",5,4,0,2
"78","Arizona","Ariz78",2,2,0,1
"79","Arizona","Ariz79",2,0,0,1
"80","Arizona","Ariz80",78,26,16,4
"81","Arizona","Ariz81",1,0,1,1
"82","Arizona","Ariz82",1,0,0,1
"83","Arizona","Ariz83",1,1,0,1
"84","Arizona","Ariz84",7,0,4,1
"85","Arizona","Ariz85",3,2,0,1
"86","Arizona","Ariz86",3,2,0,1
"87","Arizona","Ariz87",16,12,1,2
"88","Arizona","Ariz88",1,1,0,1
"89","Arizona","Ariz89",2,1,0,1
"90","Arizona","Ariz90",1,0,0,1
"91","Arizona","Ariz91",3,2,0,1
"92","Arizona","Ariz92",60,28,11,4
"93","Arizona","Ariz93",2,2,0,1
"94","Arizona","Ariz94",1,0,0,1
"95","Arizona","Ariz95",1,0,1,1
"96","Arizona","Ariz96",3,1,0,1
"97","Arizona","Ariz97",1,0,1,1
"98","Arizona","Ariz98",22,11,4,2
"99","Arizona","Ariz99",5,2,2,1
"100","Arizona","Ariz100",4,1,0,1
"101","Arizona","Ariz101",1,0,1,1
"102","Arizona","Ariz102",3,0,0,1
"103","Arizona","Ariz103",1,0,0,1
"104","Arizona","Ariz104",1,0,1,1
"105","Arizona","Ariz105",1,0,0,1
"106","Arizona","Ariz106",1,1,0,1
"107","Arizona","Ariz107",5,2,0,1
"108","Arizona","Ariz108",1,1,0,1
"109","Arizona","Ariz109",7,5,0,2
"110","Arizona","Ariz110",3,2,0,1
"111","Arizona","Ariz111",2,0,2,1
"112","Arizona","Ariz112",1,0,0,1
"113","Arizona","Ariz113",2,1,0,1
"114","Arizona","Ariz114",12,2,6,2
"115","Arizona","Ariz115",1,0,0,1
"116","Arizona","Ariz116",1,0,1,1
"117","Arizona","Ariz117",1,0,1,1
"118","Arizona","Ariz118",2,0,1,1
"119","Arizona","Ariz119",2,0,1,1
"120","Arizona","Ariz120",5,3,0,1
"121","Arizona","Ariz121",2,1,0,1
"122","Arizona","Ariz122",4,1,2,1
"123","Arizona","Ariz123",1,0,1,1
"124","Arizona","Ariz124",1,0,0,1
"125","Arizona","Ariz125",2,0,0,1
"126","Arizona","Ariz126",1,1,0,1
"127","Arizona","Ariz127",23,10,5,2
"128","Arizona","Ariz128",1,0,0,1
"129","Arizona","Ariz129",1,0,0,1
"130","Arizona","Ariz130",1,0,0,1
"131","Arizona","Ariz131",1,0,1,1
"132","Arizona","Ariz132",12,3,5,2
"133","Arizona","Ariz133",16,11,1,2
"134","Arizona","Ariz134",1,1,0,1
"135","Arizona","Ariz135",1,0,1,1
"136","Arizona","Ariz136",1,0,1,1
"137","Arizona","Ariz137",1,0,1,1
"138","Arizona","Ariz138",1,0,1,1
"139","Arizona","Ariz139",1,1,0,1
"140","Arizona","Ariz140",1,0,0,1
"141","Arizona","Ariz141",1,0,0,1
"142","Arizona","Ariz142",1,1,0,1
"143","Arizona","Ariz143",1,0,0,1
"144","Arizona","Ariz144",24,1,13,2
"145","Arizona","Ariz145",89,15,40,3
"146","Arizona","Ariz146",3,2,1,1
"147","Arizona","Ariz147",5,2,1,1
"148","Arizona","Ariz148",1,0,1,1
"149","Arizona","Ariz149",4,2,1,1
"150","Arizona","Ariz150",15,6,4,2
"151","Arizona","Ariz151",24,7,5,2
"152","Arizona","Ariz152",2,1,1,1
"153","Arizona","Ariz153",1,0,1,1
"154","Arizona","Ariz154",12,1,8,2
"155","Arizona","Ariz155",3,2,0,1
"156","Arizona","Ariz156",1,1,0,1
"157","Arizona","Ariz157",1,0,0,1
"158","Arizona","Ariz158",13,6,4,2
"159","Arizona","Ariz159",41,16,13,4
"160","Arizona","Ariz160",3,0,0,1
"161","Arizona","Ariz161",1,0,0,1
"162","Arizona","Ariz162",1,1,0,1
"163","Arizona","Ariz163",1,0,0,1
"164","Arizona","Ariz164",2,0,2,1
"165","Arizona","Ariz165",1,1,0,1
"166","Arizona","Ariz166",1,0,1,1
"167","Arizona","Ariz167",2,0,1,1
"168","Arizona","Ariz168",1,1,0,1
"169","Arizona","Ariz169",2,2,0,1
"170","Arizona","Ariz170",1,0,1,1
"171","Arizona","Ariz171",1,1,0,1
"172","Arizona","Ariz172",8,2,0,2
"173","Arizona","Ariz173",11,9,0,2
"174","Arizona","Ariz174",22,9,0,2
"175","Arizona","Ariz175",2,1,0,1
"176","Arizona","Ariz176",7,2,2,2
"177","Arizona","Ariz177",1,0,0,1
"178","Arizona","Ariz178",2,2,0,1
"179","Arizona","Ariz179",1,1,0,1
"180","Arizona","Ariz180",289,75,65,3
"181","Arizona","Ariz181",3,3,0,1
"182","Arizona","Ariz182",1,0,1,1
"183","Arizona","Ariz183",3,0,0,1
"184","Arizona","Ariz184",5,2,2,1
"185","Arizona","Ariz185",6,2,2,1
"186","Arizona","Ariz186",1,1,0,1
"187","Arizona","Ariz187",14,6,3,2
"188","Arizona","Ariz188",1,0,1,1
"189","Arizona","Ariz189",2,0,0,1
"190","Arizona","Ariz190",1,0,0,1
"191","Arizona","Ariz191",8,3,3,2
"192","Arizona","Ariz192",12,4,4,2
"193","Arizona","Ariz193",6,3,2,2
"194","Arizona","Ariz194",1,0,1,1
"195","Arizona","Ariz195",1,0,0,1
"196","Arizona","Ariz196",1,0,1,1
"197","Arizona","Ariz197",1,0,1,1
"198","Arizona","Ariz198",2,0,0,1
"199","Arizona","Ariz199",1,0,1,1
"200","Arizona","Ariz200",10,4,2,2
"201","Arizona","Ariz201",3,1,0,1
"202","Arizona","Ariz202",1,0,1,1
"203","Arizona","Ariz203",7,2,3,2
"204","Arizona","Ariz204",2,0,0,1
"205","Arizona","Ariz205",1,1,0,1
"206","Arizona","Ariz206",2,0,2,1
"207","Arizona","Ariz207",1,1,0,1
"208","Arizona","Ariz208",2,1,0,1
"209","Arizona","Ariz209",4,4,0,1
"210","Arizona","Ariz210",1,0,1,1
"211","Arizona","Ariz211",6,3,1,2
"212","Arizona","Ariz212",2,2,0,1
"213","Arizona","Ariz213",1,1,0,1
"214","Arizona","Ariz214",2,0,0,1
"215","Arizona","Ariz215",11,6,1,2
"216","Arizona","Ariz216",1,0,0,1
"217","Arizona","Ariz217",44,22,10,4
"218","Arizona","Ariz218",10,4,1,2
"219","Arizona","Ariz219",6,2,2,1
"220","Arizona","Ariz220",1,0,0,1
